Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16 strings array; 3.513 sort μs; 3.522 rand gen μs; 25.824 overhead μs; 32.859 total μs; 30.000 swaps; 85.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 32 strings array; 3.395 sort μs; 2.305 rand gen μs; 8.284 overhead μs; 13.984 total μs; 74.000 swaps; 200.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 64 strings array; 6.834 sort μs; 14.892 rand gen μs; 6.462 overhead μs; 28.188 total μs; 163.000 swaps; 468.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 128 strings array; 15.153 sort μs; 8.092 rand gen μs; 5.700 overhead μs; 28.945 total μs; 344.000 swaps; 1237.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 256 strings array; 33.109 sort μs; 16.503 rand gen μs; 5.740 overhead μs; 55.352 total μs; 782.000 swaps; 2641.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 512 strings array; 70.431 sort μs; 31.636 rand gen μs; 7.460 overhead μs; 109.527 total μs; 1617.000 swaps; 6169.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 1024 strings array; 150.570 sort μs; 63.212 rand gen μs; 7.059 overhead μs; 220.841 total μs; 3585.000 swaps; 12988.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 2048 strings array; 331.000 sort μs; 153.656 rand gen μs; 9.488 overhead μs; 494.144 total μs; 7609.000 swaps; 29769.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 4096 strings array; 773.905 sort μs; 259.954 rand gen μs; 9.111 overhead μs; 1042.970 total μs; 16303.000 swaps; 63483.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 8192 strings array; 1626.236 sort μs; 542.061 rand gen μs; 13.062 overhead μs; 2181.359 total μs; 34248.000 swaps; 141933.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16384 strings array; 3505.452 sort μs; 1069.382 rand gen μs; 20.197 overhead μs; 4595.031 total μs; 72004.000 swaps; 315998.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 32768 strings array; 7516.222 sort μs; 2129.516 rand gen μs; 51.128 overhead μs; 9696.866 total μs; 151251.000 swaps; 704633.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 65536 strings array; 15447.629 sort μs; 4287.113 rand gen μs; 53.582 overhead μs; 19788.324 total μs; 319607.000 swaps; 1414585.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 131072 strings array; 32146.156 sort μs; 8375.043 rand gen μs; 36.691 overhead μs; 40557.890 total μs; 662016.000 swaps; 3180139.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 262144 strings array; 66326.570 sort μs; 16375.574 rand gen μs; 128.394 overhead μs; 82830.538 total μs; 1402133.000 swaps; 6328493.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 524288 strings array; 141095.181 sort μs; 32944.819 rand gen μs; 135.076 overhead μs; 174175.076 total μs; 2906101.000 swaps; 13904295.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 1048576 strings array; 302309.574 sort μs; 64386.636 rand gen μs; 129.836 overhead μs; 366826.046 total μs; 6106430.000 swaps; 27835261.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 2097152 strings array; 643404.178 sort μs; 142049.898 rand gen μs; 176.400 overhead μs; 785630.476 total μs; 12465949.000 swaps; 65060365.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 4194304 strings array; 1293319.804 sort μs; 265159.182 rand gen μs; 142.950 overhead μs; 1558621.936 total μs; 26136950.000 swaps; 130075933.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 8388608 strings array; 2603812.217 sort μs; 516156.119 rand gen μs; 130.694 overhead μs; 3120099.030 total μs; 54840926.000 swaps; 254863555.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16777216 strings array; 5491341.151 sort μs; 1031453.674 rand gen μs; 141.048 overhead μs; 6522935.873 total μs; 112749004.000 swaps; 546933075.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 33554432 strings array; 11387819.615 sort μs; 2063570.482 rand gen μs; 134.879 overhead μs; 13451524.976 total μs; 233476728.000 swaps; 1134376309.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 67108864 strings array; 23792866.725 sort μs; 4127188.450 rand gen μs; 134.453 overhead μs; 27920189.628 total μs; 482583818.000 swaps; 2363869036.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 134217728 strings array; 49505596.054 sort μs; 8251731.776 rand gen μs; 135.584 overhead μs; 57757463.414 total μs; 994713659.000 swaps; 4959741423.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 268435456 strings array; 101696040.243 sort μs; 16501111.981 rand gen μs; 140.905 overhead μs; 118197293.129 total μs; 2056532204.000 swaps; 10126853529.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16 strings array; 2.725 sort μs; 1.816 rand gen μs; 26.925 overhead μs; 31.466 total μs; 56.000 swaps; 47.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 32 strings array; 3.046 sort μs; 2.349 rand gen μs; 6.377 overhead μs; 11.772 total μs; 145.000 swaps; 125.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 64 strings array; 6.409 sort μs; 4.358 rand gen μs; 5.909 overhead μs; 16.676 total μs; 338.000 swaps; 305.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 128 strings array; 14.003 sort μs; 8.259 rand gen μs; 5.758 overhead μs; 28.020 total μs; 811.000 swaps; 741.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 256 strings array; 32.004 sort μs; 15.960 rand gen μs; 5.610 overhead μs; 53.574 total μs; 1894.000 swaps; 1727.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 512 strings array; 70.450 sort μs; 31.793 rand gen μs; 5.693 overhead μs; 107.936 total μs; 4307.000 swaps; 3978.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 1024 strings array; 155.227 sort μs; 61.918 rand gen μs; 6.212 overhead μs; 223.357 total μs; 9558.000 swaps; 8950.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 2048 strings array; 339.187 sort μs; 125.964 rand gen μs; 6.342 overhead μs; 471.493 total μs; 21223.000 swaps; 19936.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 4096 strings array; 729.910 sort μs; 250.989 rand gen μs; 6.701 overhead μs; 987.600 total μs; 46586.000 swaps; 44046.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 8192 strings array; 1573.588 sort μs; 499.727 rand gen μs; 7.627 overhead μs; 2080.942 total μs; 101337.000 swaps; 96186.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16384 strings array; 3405.144 sort μs; 1002.365 rand gen μs; 7.893 overhead μs; 4415.402 total μs; 218905.000 swaps; 208753.000 compares
Merge Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 32768 strings array; 7312.326 sort μs; 2040.726 rand gen μs; 8.227 overhead μs; 9361.279 total μs; 470899.000 swaps; 450099.000 compares
