Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16 strings array; 2.924 sort μs; 3.299 rand gen μs; 24.729 overhead μs; 30.952 total μs; 35.000 swaps; 76.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 32 strings array; 3.199 sort μs; 2.619 rand gen μs; 6.975 overhead μs; 12.793 total μs; 75.000 swaps; 226.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 64 strings array; 10.417 sort μs; 4.887 rand gen μs; 16.186 overhead μs; 31.490 total μs; 164.000 swaps; 476.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 128 strings array; 16.049 sort μs; 18.645 rand gen μs; 6.133 overhead μs; 40.827 total μs; 356.000 swaps; 1378.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 256 strings array; 32.114 sort μs; 16.392 rand gen μs; 5.628 overhead μs; 54.134 total μs; 790.000 swaps; 2536.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 512 strings array; 72.211 sort μs; 31.713 rand gen μs; 5.650 overhead μs; 109.574 total μs; 1670.000 swaps; 6125.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 1024 strings array; 158.098 sort μs; 63.615 rand gen μs; 7.731 overhead μs; 229.444 total μs; 3566.000 swaps; 14125.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 2048 strings array; 332.371 sort μs; 127.897 rand gen μs; 9.608 overhead μs; 469.876 total μs; 7694.000 swaps; 29058.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 4096 strings array; 711.996 sort μs; 281.272 rand gen μs; 10.302 overhead μs; 1003.570 total μs; 16286.000 swaps; 62634.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 8192 strings array; 1654.892 sort μs; 538.537 rand gen μs; 10.500 overhead μs; 2203.929 total μs; 34037.000 swaps; 148760.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 16384 strings array; 3429.445 sort μs; 1069.548 rand gen μs; 44.920 overhead μs; 4543.913 total μs; 72214.000 swaps; 302778.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 32768 strings array; 7647.020 sort μs; 2160.703 rand gen μs; 41.754 overhead μs; 9849.477 total μs; 151212.000 swaps; 691988.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 65536 strings array; 15469.359 sort μs; 4276.511 rand gen μs; 31.416 overhead μs; 19777.286 total μs; 318531.000 swaps; 1426673.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 131072 strings array; 31538.918 sort μs; 8153.773 rand gen μs; 23.509 overhead μs; 39716.200 total μs; 666525.000 swaps; 3105883.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 262144 strings array; 65593.558 sort μs; 16089.821 rand gen μs; 123.669 overhead μs; 81807.048 total μs; 1398113.000 swaps; 6367848.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 524288 strings array; 141111.146 sort μs; 31936.219 rand gen μs; 127.628 overhead μs; 173174.993 total μs; 2878231.000 swaps; 14313665.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 1048576 strings array; 291721.383 sort μs; 63448.567 rand gen μs; 130.770 overhead μs; 355300.720 total μs; 6041480.000 swaps; 29525339.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 2097152 strings array; 622462.355 sort μs; 127019.748 rand gen μs; 149.891 overhead μs; 749631.994 total μs; 12525191.000 swaps; 63960218.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 4194304 strings array; 1256901.261 sort μs; 254891.677 rand gen μs; 129.633 overhead μs; 1511922.571 total μs; 26219354.000 swaps; 125579783.000 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 1 iteration; 8388608 strings array; 2633538.071 sort μs; 506453.933 rand gen μs; 129.710 overhead μs; 3140121.714 total μs; 54396448.000 swaps; 264353176.000 compares
