Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 16 strings array; 1.376 sort μs; 1.258 rand gen μs; 2.647 overhead μs; 5.281 total μs; 31.700 swaps; 81.000 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 16 strings array; 1.272 sort μs; 1.209 rand gen μs; 0.979 overhead μs; 3.460 total μs; 31.700 swaps; 76.700 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 16 strings array; 1.413 sort μs; 1.339 rand gen μs; 0.854 overhead μs; 3.606 total μs; 33.300 swaps; 78.700 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 16 strings array; 1.569 sort μs; 2.116 rand gen μs; 0.852 overhead μs; 4.537 total μs; 32.800 swaps; 80.600 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 16 strings array; 1.697 sort μs; 4.011 rand gen μs; 0.870 overhead μs; 6.578 total μs; 32.300 swaps; 73.600 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 16 strings array; 2.279 sort μs; 7.412 rand gen μs; 0.838 overhead μs; 10.528 total μs; 32.600 swaps; 81.900 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 16 strings array; 3.422 sort μs; 16.613 rand gen μs; 0.988 overhead μs; 21.024 total μs; 32.200 swaps; 81.300 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 16 strings array; 3.870 sort μs; 28.063 rand gen μs; 0.883 overhead μs; 32.816 total μs; 33.100 swaps; 81.800 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 16 strings array; 5.049 sort μs; 57.634 rand gen μs; 1.033 overhead μs; 63.715 total μs; 32.300 swaps; 79.700 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 16 strings array; 7.003 sort μs; 111.587 rand gen μs; 1.194 overhead μs; 119.784 total μs; 33.000 swaps; 79.400 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 32 strings array; 2.874 sort μs; 1.874 rand gen μs; 1.519 overhead μs; 6.266 total μs; 74.600 swaps; 202.800 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 32 strings array; 2.942 sort μs; 2.049 rand gen μs; 0.826 overhead μs; 5.817 total μs; 75.100 swaps; 220.800 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 32 strings array; 3.076 sort μs; 2.285 rand gen μs; 0.777 overhead μs; 6.138 total μs; 72.600 swaps; 211.100 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 32 strings array; 3.616 sort μs; 3.882 rand gen μs; 0.882 overhead μs; 8.380 total μs; 72.500 swaps; 211.700 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 32 strings array; 3.662 sort μs; 7.500 rand gen μs; 0.911 overhead μs; 12.073 total μs; 75.300 swaps; 206.900 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 32 strings array; 4.443 sort μs; 14.422 rand gen μs; 0.959 overhead μs; 19.823 total μs; 74.000 swaps; 203.200 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 32 strings array; 8.623 sort μs; 29.852 rand gen μs; 0.924 overhead μs; 39.398 total μs; 72.200 swaps; 207.300 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 32 strings array; 9.086 sort μs; 58.881 rand gen μs; 1.382 overhead μs; 69.349 total μs; 70.500 swaps; 211.700 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 32 strings array; 12.993 sort μs; 117.301 rand gen μs; 2.875 overhead μs; 133.169 total μs; 73.700 swaps; 216.600 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 32 strings array; 28.793 sort μs; 234.521 rand gen μs; 2.983 overhead μs; 266.297 total μs; 73.900 swaps; 215.800 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 64 strings array; 6.404 sort μs; 3.504 rand gen μs; 2.239 overhead μs; 12.148 total μs; 163.400 swaps; 517.200 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 64 strings array; 6.359 sort μs; 4.029 rand gen μs; 0.872 overhead μs; 11.261 total μs; 163.100 swaps; 517.900 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 64 strings array; 6.551 sort μs; 4.360 rand gen μs; 0.781 overhead μs; 11.692 total μs; 162.400 swaps; 496.600 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 64 strings array; 7.669 sort μs; 7.806 rand gen μs; 0.802 overhead μs; 16.277 total μs; 162.300 swaps; 489.600 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 64 strings array; 8.434 sort μs; 14.579 rand gen μs; 0.813 overhead μs; 23.826 total μs; 163.600 swaps; 504.700 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 64 strings array; 8.977 sort μs; 28.851 rand gen μs; 0.819 overhead μs; 38.647 total μs; 160.800 swaps; 523.600 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 64 strings array; 13.927 sort μs; 55.632 rand gen μs; 0.892 overhead μs; 70.451 total μs; 160.700 swaps; 492.200 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 64 strings array; 19.469 sort μs; 116.431 rand gen μs; 1.129 overhead μs; 137.030 total μs; 160.300 swaps; 531.600 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 64 strings array; 24.244 sort μs; 227.345 rand gen μs; 2.118 overhead μs; 253.707 total μs; 161.800 swaps; 507.300 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 64 strings array; 30.855 sort μs; 443.652 rand gen μs; 2.482 overhead μs; 476.988 total μs; 162.700 swaps; 498.800 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 128 strings array; 14.348 sort μs; 7.921 rand gen μs; 3.435 overhead μs; 25.704 total μs; 356.800 swaps; 1195.700 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 128 strings array; 13.761 sort μs; 9.768 rand gen μs; 3.644 overhead μs; 27.173 total μs; 359.600 swaps; 1203.800 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 128 strings array; 14.723 sort μs; 9.594 rand gen μs; 1.002 overhead μs; 25.319 total μs; 356.800 swaps; 1168.700 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 128 strings array; 17.031 sort μs; 15.078 rand gen μs; 1.581 overhead μs; 33.689 total μs; 355.400 swaps; 1152.000 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 128 strings array; 18.636 sort μs; 28.846 rand gen μs; 1.203 overhead μs; 48.686 total μs; 359.600 swaps; 1224.200 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 128 strings array; 21.250 sort μs; 59.511 rand gen μs; 1.661 overhead μs; 82.422 total μs; 356.900 swaps; 1167.200 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 128 strings array; 30.933 sort μs; 115.065 rand gen μs; 4.263 overhead μs; 150.262 total μs; 354.400 swaps; 1223.800 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 128 strings array; 34.525 sort μs; 227.548 rand gen μs; 2.743 overhead μs; 264.816 total μs; 356.100 swaps; 1158.500 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 128 strings array; 47.670 sort μs; 443.945 rand gen μs; 1.553 overhead μs; 493.167 total μs; 357.900 swaps; 1165.700 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 128 strings array; 70.801 sort μs; 892.965 rand gen μs; 3.551 overhead μs; 967.317 total μs; 359.100 swaps; 1159.500 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 256 strings array; 30.747 sort μs; 13.483 rand gen μs; 2.312 overhead μs; 46.541 total μs; 774.600 swaps; 2715.700 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 256 strings array; 30.884 sort μs; 14.560 rand gen μs; 1.062 overhead μs; 46.506 total μs; 774.800 swaps; 2750.300 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 256 strings array; 32.972 sort μs; 16.017 rand gen μs; 0.972 overhead μs; 49.961 total μs; 778.800 swaps; 2696.700 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 256 strings array; 35.814 sort μs; 28.309 rand gen μs; 0.908 overhead μs; 65.031 total μs; 771.300 swaps; 2663.500 compares
Quick Sort; Direct<char, 32ul> type; 32 byte length; 10 iteration; 256 strings array; 38.638 sort μs; 55.633 rand gen μs; 0.879 overhead μs; 95.150 total μs; 769.700 swaps; 2732.800 compares
Quick Sort; Direct<char, 64ul> type; 64 byte length; 10 iteration; 256 strings array; 39.133 sort μs; 110.077 rand gen μs; 0.910 overhead μs; 150.120 total μs; 765.000 swaps; 2796.500 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 10 iteration; 256 strings array; 63.697 sort μs; 216.325 rand gen μs; 0.941 overhead μs; 280.962 total μs; 775.100 swaps; 2790.500 compares
Quick Sort; Direct<char, 256ul> type; 256 byte length; 10 iteration; 256 strings array; 76.736 sort μs; 435.625 rand gen μs; 0.996 overhead μs; 513.358 total μs; 775.700 swaps; 2722.700 compares
Quick Sort; Direct<char, 512ul> type; 512 byte length; 10 iteration; 256 strings array; 99.675 sort μs; 887.858 rand gen μs; 1.160 overhead μs; 988.693 total μs; 770.800 swaps; 2584.900 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 10 iteration; 256 strings array; 141.989 sort μs; 1724.530 rand gen μs; 2.189 overhead μs; 1868.708 total μs; 774.400 swaps; 2727.700 compares
Quick Sort; Direct<char, 2ul> type; 2 byte length; 10 iteration; 512 strings array; 66.306 sort μs; 26.424 rand gen μs; 1.576 overhead μs; 94.306 total μs; 1673.900 swaps; 6175.400 compares
Quick Sort; Direct<char, 4ul> type; 4 byte length; 10 iteration; 512 strings array; 65.938 sort μs; 27.943 rand gen μs; 0.891 overhead μs; 94.772 total μs; 1657.500 swaps; 6134.500 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 10 iteration; 512 strings array; 72.181 sort μs; 34.456 rand gen μs; 0.873 overhead μs; 107.510 total μs; 1664.400 swaps; 6073.400 compares
Quick Sort; Direct<char, 16ul> type; 16 byte length; 10 iteration; 512 strings array; 86.178 sort μs; 61.385 rand gen μs; 0.932 overhead μs; 148.496 total μs; 1660.900 swaps; 6328.100 compares
