Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 16 strings array; 1.337 sort μs; 1.228 rand gen μs; 2.587 overhead μs; 5.152 total μs; 31.900 swaps; 79.600 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 16 strings array; 1.221 sort μs; 1.202 rand gen μs; 0.997 overhead μs; 3.420 total μs; 32.900 swaps; 84.700 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 16 strings array; 1.131 sort μs; 1.277 rand gen μs; 0.927 overhead μs; 3.335 total μs; 32.000 swaps; 80.400 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 16 strings array; 1.202 sort μs; 2.228 rand gen μs; 0.893 overhead μs; 4.323 total μs; 32.500 swaps; 78.800 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 16 strings array; 1.399 sort μs; 4.302 rand gen μs; 1.755 overhead μs; 7.455 total μs; 33.500 swaps; 85.400 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 16 strings array; 1.171 sort μs; 7.515 rand gen μs; 0.857 overhead μs; 9.543 total μs; 31.600 swaps; 79.400 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 16 strings array; 1.208 sort μs; 17.916 rand gen μs; 0.835 overhead μs; 19.959 total μs; 32.400 swaps; 81.700 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 16 strings array; 1.305 sort μs; 32.323 rand gen μs; 1.170 overhead μs; 34.798 total μs; 32.900 swaps; 81.100 compares
Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 16 strings array; 1.478 sort μs; 59.281 rand gen μs; 1.340 overhead μs; 62.099 total μs; 32.900 swaps; 80.900 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 10 iteration; 16 strings array; 1.270 sort μs; 111.295 rand gen μs; 3.560 overhead μs; 116.126 total μs; 32.000 swaps; 78.100 compares
Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 32 strings array; 2.472 sort μs; 3.111 rand gen μs; 1.379 overhead μs; 6.962 total μs; 70.300 swaps; 212.500 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 32 strings array; 2.622 sort μs; 2.195 rand gen μs; 1.110 overhead μs; 5.927 total μs; 73.400 swaps; 213.600 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 32 strings array; 4.589 sort μs; 3.581 rand gen μs; 1.181 overhead μs; 9.350 total μs; 71.500 swaps; 211.100 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 32 strings array; 2.934 sort μs; 3.964 rand gen μs; 1.073 overhead μs; 7.971 total μs; 71.800 swaps; 196.200 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 32 strings array; 2.900 sort μs; 7.634 rand gen μs; 1.164 overhead μs; 11.698 total μs; 74.100 swaps; 203.800 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 32 strings array; 2.832 sort μs; 14.777 rand gen μs; 1.302 overhead μs; 18.911 total μs; 73.700 swaps; 212.200 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 32 strings array; 3.895 sort μs; 35.874 rand gen μs; 1.065 overhead μs; 40.834 total μs; 74.300 swaps; 218.300 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 32 strings array; 2.772 sort μs; 56.736 rand gen μs; 1.168 overhead μs; 60.677 total μs; 70.900 swaps; 210.200 compares
Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 32 strings array; 2.748 sort μs; 114.726 rand gen μs; 1.744 overhead μs; 119.219 total μs; 73.800 swaps; 206.100 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 10 iteration; 32 strings array; 2.744 sort μs; 225.150 rand gen μs; 2.477 overhead μs; 230.370 total μs; 72.700 swaps; 203.000 compares
Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 64 strings array; 5.732 sort μs; 3.745 rand gen μs; 1.320 overhead μs; 10.796 total μs; 164.200 swaps; 545.800 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 64 strings array; 5.641 sort μs; 4.090 rand gen μs; 0.932 overhead μs; 10.664 total μs; 161.800 swaps; 486.800 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 64 strings array; 6.487 sort μs; 4.441 rand gen μs; 0.975 overhead μs; 11.902 total μs; 163.400 swaps; 514.800 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 64 strings array; 9.442 sort μs; 9.012 rand gen μs; 0.891 overhead μs; 19.344 total μs; 161.600 swaps; 510.300 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 64 strings array; 6.860 sort μs; 16.420 rand gen μs; 0.887 overhead μs; 24.167 total μs; 162.300 swaps; 536.000 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 64 strings array; 6.776 sort μs; 32.289 rand gen μs; 0.923 overhead μs; 39.988 total μs; 163.500 swaps; 499.500 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 64 strings array; 6.030 sort μs; 61.068 rand gen μs; 0.990 overhead μs; 68.088 total μs; 164.300 swaps; 508.600 compares
Quick Sort; Head<256ul, 7ul, 16ul> type; 256 byte length; 10 iteration; 64 strings array; 6.252 sort μs; 115.220 rand gen μs; 2.094 overhead μs; 123.566 total μs; 163.500 swaps; 497.900 compares
Quick Sort; Head<512ul, 7ul, 16ul> type; 512 byte length; 10 iteration; 64 strings array; 6.156 sort μs; 232.966 rand gen μs; 2.070 overhead μs; 241.192 total μs; 162.000 swaps; 506.100 compares
Quick Sort; Head<1024ul, 7ul, 16ul> type; 1024 byte length; 10 iteration; 64 strings array; 7.035 sort μs; 466.864 rand gen μs; 3.129 overhead μs; 477.028 total μs; 164.500 swaps; 503.500 compares
Quick Sort; Head<2ul, 7ul, 16ul> type; 2 byte length; 10 iteration; 128 strings array; 13.970 sort μs; 8.646 rand gen μs; 2.391 overhead μs; 25.007 total μs; 357.600 swaps; 1152.200 compares
Quick Sort; Head<4ul, 7ul, 16ul> type; 4 byte length; 10 iteration; 128 strings array; 13.047 sort μs; 7.819 rand gen μs; 1.000 overhead μs; 21.867 total μs; 356.500 swaps; 1168.300 compares
Quick Sort; Head<8ul, 7ul, 16ul> type; 8 byte length; 10 iteration; 128 strings array; 11.773 sort μs; 8.441 rand gen μs; 2.817 overhead μs; 23.031 total μs; 354.900 swaps; 1178.000 compares
Quick Sort; Head<16ul, 7ul, 16ul> type; 16 byte length; 10 iteration; 128 strings array; 15.015 sort μs; 18.871 rand gen μs; 1.169 overhead μs; 35.054 total μs; 356.000 swaps; 1227.700 compares
Quick Sort; Head<32ul, 7ul, 16ul> type; 32 byte length; 10 iteration; 128 strings array; 13.162 sort μs; 30.480 rand gen μs; 1.104 overhead μs; 44.745 total μs; 355.800 swaps; 1159.800 compares
Quick Sort; Head<64ul, 7ul, 16ul> type; 64 byte length; 10 iteration; 128 strings array; 14.680 sort μs; 60.460 rand gen μs; 0.939 overhead μs; 76.080 total μs; 354.400 swaps; 1194.300 compares
Quick Sort; Head<128ul, 7ul, 16ul> type; 128 byte length; 10 iteration; 128 strings array; 13.152 sort μs; 114.185 rand gen μs; 0.956 overhead μs; 128.292 total μs; 358.100 swaps; 1174.100 compares
