Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 16 strings array; 1.281 sort μs; 1.262 rand gen μs; 2.638 overhead μs; 5.181 total μs; 32.600 swaps; 76.600 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 16 strings array; 1.267 sort μs; 1.119 rand gen μs; 1.105 overhead μs; 3.491 total μs; 32.700 swaps; 88.100 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 16 strings array; 2.704 sort μs; 1.370 rand gen μs; 1.907 overhead μs; 5.982 total μs; 32.500 swaps; 80.300 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 16 strings array; 1.199 sort μs; 2.157 rand gen μs; 0.867 overhead μs; 4.223 total μs; 32.300 swaps; 83.400 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 16 strings array; 1.643 sort μs; 3.951 rand gen μs; 0.895 overhead μs; 6.489 total μs; 31.900 swaps; 87.300 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 16 strings array; 1.467 sort μs; 7.931 rand gen μs; 0.823 overhead μs; 10.222 total μs; 31.900 swaps; 80.400 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 16 strings array; 1.397 sort μs; 14.369 rand gen μs; 0.874 overhead μs; 16.639 total μs; 32.600 swaps; 82.100 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 16 strings array; 1.385 sort μs; 27.965 rand gen μs; 1.084 overhead μs; 30.434 total μs; 32.100 swaps; 82.500 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 16 strings array; 1.630 sort μs; 58.507 rand gen μs; 1.205 overhead μs; 61.342 total μs; 33.500 swaps; 89.700 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 16 strings array; 2.696 sort μs; 115.404 rand gen μs; 2.241 overhead μs; 120.341 total μs; 31.800 swaps; 82.700 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 32 strings array; 2.645 sort μs; 1.969 rand gen μs; 2.612 overhead μs; 7.225 total μs; 74.000 swaps; 208.300 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 32 strings array; 2.499 sort μs; 2.048 rand gen μs; 0.921 overhead μs; 5.468 total μs; 74.100 swaps; 206.500 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 32 strings array; 2.691 sort μs; 2.399 rand gen μs; 0.879 overhead μs; 5.969 total μs; 74.300 swaps; 210.500 compares
Quick Sort; Symbiont<16ul, 3ul, 32ul> type; 16 byte length; 10 iteration; 32 strings array; 2.672 sort μs; 4.202 rand gen μs; 0.910 overhead μs; 7.783 total μs; 73.900 swaps; 208.400 compares
Quick Sort; Symbiont<32ul, 3ul, 32ul> type; 32 byte length; 10 iteration; 32 strings array; 3.466 sort μs; 7.689 rand gen μs; 0.903 overhead μs; 12.057 total μs; 75.500 swaps; 203.700 compares
Quick Sort; Symbiont<64ul, 3ul, 32ul> type; 64 byte length; 10 iteration; 32 strings array; 2.944 sort μs; 15.798 rand gen μs; 0.891 overhead μs; 19.634 total μs; 74.500 swaps; 194.900 compares
Quick Sort; Symbiont<128ul, 3ul, 32ul> type; 128 byte length; 10 iteration; 32 strings array; 3.083 sort μs; 28.590 rand gen μs; 0.865 overhead μs; 32.538 total μs; 74.000 swaps; 211.500 compares
Quick Sort; Symbiont<256ul, 3ul, 32ul> type; 256 byte length; 10 iteration; 32 strings array; 3.117 sort μs; 61.954 rand gen μs; 1.042 overhead μs; 66.113 total μs; 72.100 swaps; 201.900 compares
Quick Sort; Symbiont<512ul, 3ul, 32ul> type; 512 byte length; 10 iteration; 32 strings array; 3.012 sort μs; 118.969 rand gen μs; 1.545 overhead μs; 123.526 total μs; 74.300 swaps; 208.100 compares
Quick Sort; Symbiont<1024ul, 3ul, 32ul> type; 1024 byte length; 10 iteration; 32 strings array; 3.734 sort μs; 233.572 rand gen μs; 1.853 overhead μs; 239.159 total μs; 74.200 swaps; 201.900 compares
Quick Sort; Symbiont<2ul, 3ul, 32ul> type; 2 byte length; 10 iteration; 64 strings array; 5.645 sort μs; 3.614 rand gen μs; 2.286 overhead μs; 11.545 total μs; 162.300 swaps; 504.300 compares
Quick Sort; Symbiont<4ul, 3ul, 32ul> type; 4 byte length; 10 iteration; 64 strings array; 6.419 sort μs; 3.834 rand gen μs; 4.739 overhead μs; 14.992 total μs; 162.200 swaps; 490.300 compares
Quick Sort; Symbiont<8ul, 3ul, 32ul> type; 8 byte length; 10 iteration; 64 strings array; 5.692 sort μs; 4.408 rand gen μs; 1.151 overhead μs; 11.251 total μs; 159.700 swaps; 515.300 compares
