Quick Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 16 strings array; 1.060 sort μs; 1.236 rand gen μs; 0.342 overhead μs; 2.638 total μs; 32.545 swaps; 79.710 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 16 strings array; 2.775 sort μs; 14.790 rand gen μs; 0.264 overhead μs; 17.829 total μs; 32.555 swaps; 81.805 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 16 strings array; 6.753 sort μs; 111.987 rand gen μs; 0.416 overhead μs; 119.157 total μs; 32.430 swaps; 81.860 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 32 strings array; 2.776 sort μs; 2.327 rand gen μs; 0.401 overhead μs; 5.504 total μs; 72.915 swaps; 210.580 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 32 strings array; 6.558 sort μs; 29.005 rand gen μs; 0.370 overhead μs; 35.933 total μs; 73.545 swaps; 209.335 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 32 strings array; 13.848 sort μs; 218.687 rand gen μs; 0.450 overhead μs; 232.986 total μs; 73.355 swaps; 207.550 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 64 strings array; 6.209 sort μs; 4.205 rand gen μs; 0.366 overhead μs; 10.779 total μs; 162.950 swaps; 501.065 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 64 strings array; 12.876 sort μs; 56.592 rand gen μs; 0.334 overhead μs; 69.802 total μs; 162.695 swaps; 504.880 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 64 strings array; 29.227 sort μs; 432.718 rand gen μs; 0.421 overhead μs; 462.365 total μs; 163.075 swaps; 506.460 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 128 strings array; 13.968 sort μs; 8.350 rand gen μs; 0.428 overhead μs; 22.746 total μs; 356.670 swaps; 1180.205 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 128 strings array; 28.417 sort μs; 111.567 rand gen μs; 0.347 overhead μs; 140.331 total μs; 355.195 swaps; 1193.855 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 128 strings array; 64.152 sort μs; 858.204 rand gen μs; 0.498 overhead μs; 922.854 total μs; 355.755 swaps; 1185.410 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 256 strings array; 31.054 sort μs; 15.989 rand gen μs; 0.419 overhead μs; 47.461 total μs; 773.450 swaps; 2712.220 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 256 strings array; 60.729 sort μs; 216.680 rand gen μs; 0.536 overhead μs; 277.946 total μs; 773.085 swaps; 2724.165 compares
Quick Sort; Direct<char, 1024ul> type; 1024 byte length; 200 iteration; 256 strings array; 143.539 sort μs; 1707.976 rand gen μs; 0.803 overhead μs; 1852.318 total μs; 773.085 swaps; 2718.250 compares
Quick Sort; Direct<char, 8ul> type; 8 byte length; 200 iteration; 512 strings array; 69.409 sort μs; 32.251 rand gen μs; 0.438 overhead μs; 102.097 total μs; 1665.050 swaps; 6202.600 compares
Quick Sort; Direct<char, 128ul> type; 128 byte length; 200 iteration; 512 strings array; 132.635 sort μs; 433.852 rand gen μs; 0.609 overhead μs; 567.096 total μs; 1666.255 swaps; 6152.390 compares
