Quick Sort; std::string type; 2 byte length; 10 iteration; 16 strings array; 1.878 sort μs; 1.892 rand gen μs; 2.208 overhead μs; 5.978 total μs; 32.700 swaps; 80.700 compares
Quick Sort; std::string type; 4 byte length; 10 iteration; 16 strings array; 1.643 sort μs; 1.684 rand gen μs; 1.119 overhead μs; 4.447 total μs; 32.600 swaps; 77.500 compares
Quick Sort; std::string type; 8 byte length; 10 iteration; 16 strings array; 1.726 sort μs; 1.820 rand gen μs; 0.993 overhead μs; 4.540 total μs; 32.200 swaps; 80.900 compares
Quick Sort; std::string type; 16 byte length; 10 iteration; 16 strings array; 1.688 sort μs; 2.643 rand gen μs; 0.976 overhead μs; 5.307 total μs; 32.100 swaps; 77.900 compares
Quick Sort; std::string type; 32 byte length; 10 iteration; 16 strings array; 1.835 sort μs; 4.456 rand gen μs; 0.961 overhead μs; 7.252 total μs; 32.000 swaps; 81.700 compares
Quick Sort; std::string type; 64 byte length; 10 iteration; 16 strings array; 1.927 sort μs; 9.363 rand gen μs; 1.004 overhead μs; 12.294 total μs; 33.400 swaps; 81.300 compares
Quick Sort; std::string type; 128 byte length; 10 iteration; 16 strings array; 2.931 sort μs; 15.022 rand gen μs; 1.539 overhead μs; 19.492 total μs; 33.400 swaps; 84.800 compares
Quick Sort; std::string type; 256 byte length; 10 iteration; 16 strings array; 1.952 sort μs; 31.200 rand gen μs; 1.661 overhead μs; 34.813 total μs; 33.300 swaps; 80.700 compares
Quick Sort; std::string type; 512 byte length; 10 iteration; 16 strings array; 2.124 sort μs; 57.451 rand gen μs; 1.929 overhead μs; 61.504 total μs; 32.600 swaps; 78.500 compares
Quick Sort; std::string type; 1024 byte length; 10 iteration; 16 strings array; 2.582 sort μs; 114.274 rand gen μs; 1.810 overhead μs; 118.665 total μs; 32.100 swaps; 86.900 compares
Quick Sort; std::string type; 2 byte length; 10 iteration; 32 strings array; 3.848 sort μs; 3.053 rand gen μs; 2.330 overhead μs; 9.232 total μs; 73.200 swaps; 197.800 compares
Quick Sort; std::string type; 4 byte length; 10 iteration; 32 strings array; 3.822 sort μs; 3.188 rand gen μs; 2.496 overhead μs; 9.506 total μs; 72.200 swaps; 193.800 compares
Quick Sort; std::string type; 8 byte length; 10 iteration; 32 strings array; 4.061 sort μs; 3.394 rand gen μs; 1.582 overhead μs; 9.037 total μs; 75.000 swaps; 213.600 compares
Quick Sort; std::string type; 16 byte length; 10 iteration; 32 strings array; 3.977 sort μs; 5.221 rand gen μs; 1.421 overhead μs; 10.618 total μs; 73.800 swaps; 199.100 compares
Quick Sort; std::string type; 32 byte length; 10 iteration; 32 strings array; 4.409 sort μs; 8.866 rand gen μs; 1.443 overhead μs; 14.718 total μs; 72.600 swaps; 217.800 compares
Quick Sort; std::string type; 64 byte length; 10 iteration; 32 strings array; 4.224 sort μs; 16.099 rand gen μs; 1.480 overhead μs; 21.802 total μs; 72.300 swaps; 208.200 compares
Quick Sort; std::string type; 128 byte length; 10 iteration; 32 strings array; 4.120 sort μs; 30.638 rand gen μs; 4.001 overhead μs; 38.759 total μs; 72.600 swaps; 210.500 compares
Quick Sort; std::string type; 256 byte length; 10 iteration; 32 strings array; 3.960 sort μs; 57.778 rand gen μs; 1.941 overhead μs; 63.679 total μs; 71.400 swaps; 193.900 compares
Quick Sort; std::string type; 512 byte length; 10 iteration; 32 strings array; 4.369 sort μs; 111.733 rand gen μs; 1.718 overhead μs; 117.819 total μs; 73.100 swaps; 218.400 compares
Quick Sort; std::string type; 1024 byte length; 10 iteration; 32 strings array; 4.732 sort μs; 225.274 rand gen μs; 1.625 overhead μs; 231.631 total μs; 71.400 swaps; 201.400 compares
Quick Sort; std::string type; 2 byte length; 10 iteration; 64 strings array; 9.177 sort μs; 6.738 rand gen μs; 2.189 overhead μs; 18.103 total μs; 163.100 swaps; 522.200 compares
Quick Sort; std::string type; 4 byte length; 10 iteration; 64 strings array; 8.908 sort μs; 6.036 rand gen μs; 2.057 overhead μs; 17.000 total μs; 162.900 swaps; 505.400 compares
Quick Sort; std::string type; 8 byte length; 10 iteration; 64 strings array; 9.101 sort μs; 6.490 rand gen μs; 1.779 overhead μs; 17.370 total μs; 160.100 swaps; 515.300 compares
Quick Sort; std::string type; 16 byte length; 10 iteration; 64 strings array; 9.111 sort μs; 10.048 rand gen μs; 1.909 overhead μs; 21.069 total μs; 163.200 swaps; 485.500 compares
Quick Sort; std::string type; 32 byte length; 10 iteration; 64 strings array; 9.446 sort μs; 18.043 rand gen μs; 2.952 overhead μs; 30.440 total μs; 162.400 swaps; 521.500 compares
Quick Sort; std::string type; 64 byte length; 10 iteration; 64 strings array; 10.359 sort μs; 35.425 rand gen μs; 3.074 overhead μs; 48.858 total μs; 160.800 swaps; 528.600 compares
Quick Sort; std::string type; 128 byte length; 10 iteration; 64 strings array; 9.228 sort μs; 69.787 rand gen μs; 3.012 overhead μs; 82.027 total μs; 163.000 swaps; 515.400 compares
Quick Sort; std::string type; 256 byte length; 10 iteration; 64 strings array; 10.385 sort μs; 117.789 rand gen μs; 2.695 overhead μs; 130.869 total μs; 163.100 swaps; 498.600 compares
Quick Sort; std::string type; 512 byte length; 10 iteration; 64 strings array; 12.675 sort μs; 231.097 rand gen μs; 3.458 overhead μs; 247.230 total μs; 163.700 swaps; 529.700 compares
Quick Sort; std::string type; 1024 byte length; 10 iteration; 64 strings array; 12.090 sort μs; 455.226 rand gen μs; 5.785 overhead μs; 473.101 total μs; 161.300 swaps; 506.800 compares
Quick Sort; std::string type; 2 byte length; 10 iteration; 128 strings array; 20.812 sort μs; 10.948 rand gen μs; 4.205 overhead μs; 35.965 total μs; 355.600 swaps; 1190.800 compares
Quick Sort; std::string type; 4 byte length; 10 iteration; 128 strings array; 22.424 sort μs; 13.320 rand gen μs; 2.782 overhead μs; 38.525 total μs; 355.000 swaps; 1200.800 compares
Quick Sort; std::string type; 8 byte length; 10 iteration; 128 strings array; 22.129 sort μs; 16.469 rand gen μs; 3.634 overhead μs; 42.232 total μs; 356.100 swaps; 1194.600 compares
Quick Sort; std::string type; 16 byte length; 10 iteration; 128 strings array; 21.084 sort μs; 23.792 rand gen μs; 2.738 overhead μs; 47.614 total μs; 353.800 swaps; 1166.700 compares
